********************************************************************************
product = Open Liberty 20.0.0.12 (wlp-1.0.47.cl201220201111-0736)
wlp.install.dir = C:/werkplaats/Jax-RS/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk1.8.0_261\jre
java.version = 1.8.0_261
java.runtime = Java(TM) SE Runtime Environment (1.8.0_261-b12)
os = Windows 8.1 (6.3; amd64) (nl_NL)
process = 2756@NSI-PF00JV9Q
********************************************************************************
[30-11-20 16:16:11:316 CET] 00000021 bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: The Jax-RS-1.0-SNAPSHOT application is using the loose application definition at the C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\dropins\Jax-RS-1.0-SNAPSHOT.war.xml location.
[30-11-20 16:16:11:348 CET] 00000033 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[30-11-20 16:16:11:910 CET] 00000021 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: Jax-RS-1.0-SNAPSHOT.
[30-11-20 16:16:11:910 CET] 00000021 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module Jax-RS-1.0-SNAPSHOT has been bound to default_host.
[30-11-20 16:16:11:926 CET] 00000021 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://localhost:9080/Jax-RS-1.0-SNAPSHOT/
[30-11-20 16:16:11:926 CET] 00000024 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/Jax-RS-1.0-SNAPSHOT
[30-11-20 16:16:11:926 CET] 00000024 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
[30-11-20 16:16:11:941 CET] 00000024 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0003I: The application Jax-RS-1.0-SNAPSHOT updated in 0,625 seconds.
[30-11-20 16:16:12:051 CET] 00000032 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[30-11-20 16:19:55:377 CET] 00000021 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0017I: Web application removed (default_host): http://localhost:9080/Jax-RS-1.0-SNAPSHOT/
[30-11-20 16:19:57:438 CET] 00000021 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0009I: The application Jax-RS-1.0-SNAPSHOT has stopped successfully.
[30-11-20 16:19:57:471 CET] 00000021 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application Jax-RS-1.0-SNAPSHOT.
[30-11-20 16:19:57:471 CET] 00000021 bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: The Jax-RS-1.0-SNAPSHOT application is using the loose application definition at the C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\dropins\Jax-RS-1.0-SNAPSHOT.war.xml location.
[30-11-20 16:19:57:731 CET] 00000032 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[30-11-20 16:19:58:341 CET] 00000021 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: An FFDC Incident has been created: "java.lang.Exception: Found duplicated servlet mapping url, /resources/*, with endpoint infos com.ibm.ws.jaxrs20.metadata.EndpointInfo@16ae9e1b org.example.madjid.resource.JaxrsConfiguration org.example.madjid.resource.JaxrsConfiguration /resources/* false and com.ibm.ws.jaxrs20.metadata.EndpointInfo@195cb79d org.example.eigennaam.resource.JaxrsConfiguration org.example.eigennaam.resource.JaxrsConfiguration /resources/* false, throw exception to fail application starting. com.ibm.ws.jaxrs20.server.component.JaxRsWebModuleInfoBuilder 292" at ffdc_20.11.30_16.19.58.0.log
[30-11-20 16:19:58:498 CET] 00000021 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: Jax-RS-1.0-SNAPSHOT.
[30-11-20 16:19:58:498 CET] 00000021 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module Jax-RS-1.0-SNAPSHOT has been bound to default_host.
[30-11-20 16:19:58:498 CET] 00000021 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://localhost:9080/Jax-RS-1.0-SNAPSHOT/
[30-11-20 16:19:58:507 CET] 00000033 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/Jax-RS-1.0-SNAPSHOT
[30-11-20 16:19:58:507 CET] 00000033 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
[30-11-20 16:19:58:511 CET] 00000033 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0003I: The application Jax-RS-1.0-SNAPSHOT updated in 1,040 seconds.
[30-11-20 16:19:58:578 CET] 00000021 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[30-11-20 16:19:58:895 CET] 00000027 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0017I: Web application removed (default_host): http://localhost:9080/Jax-RS-1.0-SNAPSHOT/
[30-11-20 16:19:58:953 CET] 00000027 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0009I: The application Jax-RS-1.0-SNAPSHOT has stopped successfully.
[30-11-20 16:19:58:980 CET] 00000027 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application Jax-RS-1.0-SNAPSHOT.
[30-11-20 16:19:58:981 CET] 00000027 bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: The Jax-RS-1.0-SNAPSHOT application is using the loose application definition at the C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\dropins\Jax-RS-1.0-SNAPSHOT.war.xml location.
[30-11-20 16:19:59:305 CET] 00000024 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[30-11-20 16:19:59:495 CET] 00000027 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: An FFDC Incident has been created: "java.lang.Exception: Found duplicated servlet mapping url, /resources/*, with endpoint infos com.ibm.ws.jaxrs20.metadata.EndpointInfo@1e145ed5 org.example.madjid.resource.JaxrsConfiguration org.example.madjid.resource.JaxrsConfiguration /resources/* false and com.ibm.ws.jaxrs20.metadata.EndpointInfo@41f26049 org.example.eigennaam.resource.JaxrsConfiguration org.example.eigennaam.resource.JaxrsConfiguration /resources/* false, throw exception to fail application starting. com.ibm.ws.jaxrs20.server.component.JaxRsWebModuleInfoBuilder 292" at ffdc_20.11.30_16.19.59.0.log
[30-11-20 16:19:59:581 CET] 00000027 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: Jax-RS-1.0-SNAPSHOT.
[30-11-20 16:19:59:581 CET] 00000027 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module Jax-RS-1.0-SNAPSHOT has been bound to default_host.
[30-11-20 16:19:59:581 CET] 00000027 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://localhost:9080/Jax-RS-1.0-SNAPSHOT/
[30-11-20 16:19:59:585 CET] 00000027 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/Jax-RS-1.0-SNAPSHOT
[30-11-20 16:19:59:586 CET] 00000027 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
[30-11-20 16:19:59:588 CET] 00000027 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0003I: The application Jax-RS-1.0-SNAPSHOT updated in 0,608 seconds.
[30-11-20 16:19:59:626 CET] 00000023 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
